sentence,hypothesis,features,contradiction
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.80') set quota('download', '3', 'gb/wk')","define intent hypIntent: for group('guests') set quota('download', '2', 'gb/wk')","[3, 0, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') add middlebox('ips'), middlebox('firewall'), middlebox('overuse notification') start hour('04:10') end hour('12:00')","define intent hypIntent: for group('dorms') remove middlebox('parental control'), middlebox('overuse notification'), middlebox('network border system') start hour('14:30') end hour('18:20')","[5, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 4.310971403032342, 6]",0
"define intent stnIntent: for group('students') set bandwidth('max', '20', 'mbps')","define intent hypIntent: for group('students') set bandwidth('min', '50', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') add middlebox('load balancer'), middlebox('traffics monitor'), middlebox('ips')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.14') add middlebox('traffics monitor'), middlebox('overuse notification'), middlebox('dpi')","[5, 1, 1440.0, 0, 0, 1, 0, 3.1218466968872036, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4.547522833124857, 6]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.27') set quota('any', '4', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.31') set quota('any', '1', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 3.1103821725157417, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') unset quota('upload', '1', 'gb/wk')","define intent hypIntent: for group('students') set bandwidth('min', '30', 'mbps')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.27') allow service('stremio') traffic('streaming'),"define intent hypIntent: for group('students') block protocol('snmp'), protocol('https')","[3, 1, 1440.0, 1, 0, 0, 1, 0, 2, 0, 1, 0, 1, 0, 1, 0, 2, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') unset quota('download', '9', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.25') set bandwidth('max', '80', 'mbps')","[4, 1, 1440.0, 1, 0, 0, 0, 3.2760372858649176, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') add middlebox('network border system'), middlebox('overuse notification')",define intent hypIntent: for group('student') remove middlebox('overuse notification'),"[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.6986477652770984, 3]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.75') add middlebox('traffics monitor'), middlebox('overuse notification')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') remove middlebox('firewall'),"[3, 1, 1440.0, 1, 0, 0, 0, 2.790191459798272, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1.0592054970781632, 3]",0
"define intent stnIntent: for group('guests') add middlebox('overuse notification'), middlebox('network border system'), middlebox('traffics monitor')","define intent hypIntent: for group('guests') remove middlebox('firewall'), middlebox('traffics monitor'), middlebox('overuse notification')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 5.68424168720648, 6]",1
"define intent stnIntent: for group('students') unset quota('upload', '1', 'gb/wk')","define intent hypIntent: for group('students') unset quota('any', '7', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.51') set bandwidth('max', '50', 'mbps')","define intent hypIntent: for group('guests') set bandwidth('max', '70', 'mbps')","[4, 0, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') unset bandwidth('min', '30', 'mbps')","define intent hypIntent: for group('guests') set quota('upload', '2', 'gb/wk')","[3, 1, 1440.0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') allow service('MSN application sharing'), service('stremio')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.49') block protocol('scp'), protocol('https')","[5, 1, 1440.0, 1, 0, 1, 1, 3.0962017482424766, 4, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') set quota('upload', '2', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.6') set bandwidth('min', '80', 'mbps')","[5, 1, 1440.0, 0, 0, 1, 0, 3.086709951843666, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') set bandwidth('max', '20', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.49') set bandwidth('min', '30', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 3.0962017482424766, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52') add middlebox('load balancer'), middlebox('ips')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.60') add middlebox('copyright monitoring'),"[5, 1, 1440.0, 0, 0, 1, 0, 2.932029263405072, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0.8499686598396635, 3]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.9'),"[5, 1, 1440.0, 0, 0, 1, 0, 2.9407028767072405, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') remove middlebox('overuse notification'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.44') remove middlebox('traffics monitor'), middlebox('network border system')","[5, 1, 1440.0, 0, 0, 1, 0, 3.144223705199406, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1.1834400940365857, 3]",0
"define intent stnIntent: for group('dorms') set bandwidth('min', '80', 'mbps')","define intent hypIntent: for group('dorms') set bandwidth('max', '50', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set quota('upload', '7', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.26') add middlebox('load balancer'), middlebox('copyright monitoring'), middlebox('traffics monitor')","[3, 1, 1440.0, 0, 0, 1, 0, 3.0860683831188007, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') allow service('instagram') traffic('any'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.16') block traffic('video conference') protocol('ssh'),"[5, 1, 1440.0, 1, 0, 1, 1, 2.7559703036002037, 4, 0, 1, 0, 0, 0.12880712363135172, 2, 0, 1, 0, 0]",1
"define intent stnIntent: for group('dorms') set bandwidth('max', '50', 'mbps') start hour('05:00') end hour('09:30')","define intent hypIntent: for group('dorms') set bandwidth('min', '40', 'mbps') start hour('17:20') end hour('18:00')","[5, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.3') set bandwidth('max', '30', 'mbps') start hour('12:00') end hour('17:30')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set bandwidth('max', '70', 'mbps') start hour('11:10') end hour('18:00')","[3, 0, 331.0, 0, 0, 1, 0, 3.2545050259323864, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') add middlebox('parental control'), middlebox('ids')","define intent hypIntent: for group('students') remove middlebox('traffics monitor'), middlebox('unit firewall'), middlebox('network border system')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 2.59524733456891, 5]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') allow service('MSN application sharing'), service('facebook')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') block service('PC Telephone') protocol('https'),"[4, 1, 1440.0, 1, 0, 1, 1, 3.167652300004635, 4, 1.095906601504895, 3, 0, 0, 0, 0, 0, 1, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') add middlebox('unit firewall'),"define intent stnIntent: for group('students') allow traffic('torrent'), traffic('email')","[2, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1]",0
define intent stnIntent: for group('guests') allow service('CounterStrike') traffic('H323 video conferencing'),define intent hypIntent: for group('guest users') block traffic('gaming') protocol('secure IMAP'),"[5, 1, 1440.0, 1, 2, 1, 1, 0, 0, 0, 1, 0, 2, 0.567396363844863, 2, 0, 1, 0, 0]",1
define intent stnIntent: for group('students') allow service('MSN video') traffic('streaming') start hour('02:00') end hour('09:30'),define intent hypIntent: for group('students') block traffic('H323 video conferencing') protocol('https') start hour('14:30') end hour('18:20'),"[5, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 2, 0.624456935439248, 2, 0, 1, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.3') allow service('file transfer') start hour('08:10') end hour('14:00'),define intent hypIntent: for group('dorms') block service('netflix') traffic('file sharing') start hour('08:30') end hour('14:10'),"[3, 1, 331.0, 1, 0, 0, 1, 0, 2, 0.6195305726999093, 2, 0, 1, 0, 1, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') set bandwidth('max', '60', 'mbps')","define intent hypIntent: for group('visitors') set quota('download', '1', 'gb/wk')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: for group('dorms') allow traffic('voip') protocol('smtp'),"define intent hypIntent: for group('residence hall') block protocol('tcp'), protocol('nat')","[5, 1, 1440.0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 2, 0, 1, 1.0639529911718768, 3, 0, 0]",1
"define intent stnIntent: for group('dorms') allow traffic('torrent'), traffic('social media') add middlebox('firewall')","define intent hypIntent: for group('dorms') allow traffic('gaming'), traffic('social media')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 2.3971696687892696, 4, 0, 0, 0, 1]",0
"define intent stnIntent: for group('students') set bandwidth('max', '50', 'mbps') start hour('08:20') end hour('17:40')","define intent hypIntent: for group('students') set bandwidth('min', '10', 'mbps')","[5, 0, 561.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.51') set quota('download', '6', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.51') set bandwidth('max', '50', 'mbps')","[4, 1, 1440.0, 0, 0, 0, 0, 3.3744228039523025, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') add middlebox('copyright monitoring'), middlebox('load balancer') start hour('09:30') end hour('17:40')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.26') remove middlebox('load balancer'),"[3, 1, 491.0, 1, 0, 1, 0, 3.0860683831188007, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1.6758782683224287, 3]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') block service('AIM chat'), service('youtube') start hour('06:10') end hour('14:20')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.51') allow service('Sony Playstation 2'), service('facebook') start hour('14:30') end hour('18:10')","[3, 1, 0, 1, 0, 0, 0, 3.1151434778680986, 4, 1.9847211639359852, 4, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') set bandwidth('max', '50', 'mbps') start hour('12:40') end hour('17:20')","define intent hypIntent: for group('students') set bandwidth('min', '10', 'mbps')","[5, 0, 281.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') allow service('MSN application sharing'), service('email')","define intent hypIntent: for group('non registered users') block service('Battlenet'), service('file transfer')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 2.4967214394696517, 4, 0, 2, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.10') add middlebox('unit firewall') start hour('12:10') end hour('19:10'),"define intent hypIntent: for group('students') remove middlebox('load balancer'), middlebox('firewall'), middlebox('unit firewall') start hour('09:20') end hour('17:00')","[5, 1, 291.0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 2.4073143514349655, 4]",1
"define intent stnIntent: for group('guests') set bandwidth('min', '10', 'mbps')","define intent hypIntent: for group('guest users') set bandwidth('min', '40', 'mbps')","[5, 0, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') set quota('download', '1', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.71') set quota('any', '2', 'gb/wk')","[3, 0, 1440.0, 0, 0, 0, 0, 3.1395832769476075, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') add middlebox('copyright monitoring') start hour('03:10') end hour('09:40'),"define intent hypIntent: for group('guests') remove middlebox('copyright monitoring'), middlebox('network border system'), middlebox('dpi') start hour('14:10') end hour('15:10')","[4, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 2.075883497222598, 4]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.13'),"[5, 1, 1440.0, 0, 0, 1, 0, 3.059477784515689, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') add middlebox('ips'), middlebox('dpi'), middlebox('unit firewall')","define intent stnIntent: for group('dorms') allow service('vimeo'), service('youtube')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 3]",0
"define intent stnIntent: for group('students') add middlebox('copyright monitoring'), middlebox('ids'), middlebox('overuse notification')",define intent hypIntent: for group('educatee') remove middlebox('copyright monitoring'),"[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.896158711282574, 4]",1
"define intent stnIntent: for group('dorms') add middlebox('network border system'), middlebox('parental control')",define intent hypIntent: for group('dormitory') add middlebox('overuse notification'),"[5, 1, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.2978428035067124, 3]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') add middlebox('traffics monitor'), middlebox('ips')","define intent hypIntent: for group('guests') remove middlebox('overuse notification'), middlebox('ips'), middlebox('ids')","[3, 1, 1440.0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 3.3084118438391643, 5]",1
define intent stnIntent: for group('dorms') add middlebox('traffics monitor'),"define intent stnIntent: for group('students') allow traffic('torrent'), traffic('voip')","[3, 1, 1440.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 1]",0
define intent stnIntent: for group('guests') add middlebox('unit firewall'),"define intent hypIntent: for group('guest') remove middlebox('unit firewall'), middlebox('parental control')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.6236097227580406, 3]",1
"define intent stnIntent: for group('guests') set bandwidth('max', '70', 'mbps')","define intent hypIntent: for group('guests') set quota('download', '9', 'gb/wk')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') set quota('upload', '7', 'gb/wk')","define intent hypIntent: for group('guests') set quota('upload', '6', 'gb/wk')","[3, 0, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') set quota('upload', '3', 'gb/wk')","define intent stnIntent: for group('guests') add middlebox('parental control'), middlebox('load balancer'), middlebox('dpi')","[2, 1, 1440.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3]",0
define intent stnIntent: for group('students') add middlebox('load balancer'),"define intent hypIntent: for group('student') remove middlebox('parental control'), middlebox('load balancer'), middlebox('ids')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.8889999351340463, 4]",1
"define intent stnIntent: for group('dorms') set quota('download', '9', 'gb/wk') start hour('04:20') end hour('09:30')","define intent hypIntent: for group('dorms') set quota('download', '3', 'gb/wk') start hour('15:30') end hour('16:30')","[5, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') add middlebox('ips'), middlebox('network border system')","define intent hypIntent: for group('guests') remove middlebox('dpi'), middlebox('network border system'), middlebox('load balancer')","[3, 1, 1440.0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 2.851036938761995, 5]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.27') unset quota('any', '2', 'gb/wk') start hour('02:30') end hour('12:00')","define intent hypIntent: for group('dorms') unset quota('any', '5', 'gb/wk') start hour('16:30') end hour('18:20')","[4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') set bandwidth('max', '10', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.44') set bandwidth('min', '20', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 3.144223705199406, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.23') add middlebox('ips'),"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') allow service('Battlenet'), service('MSN video')","[2, 1, 1440.0, 0, 0, 0, 0, 2.860866455595258, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.26') allow traffic('voip') protocol('snmp'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') block traffic('any') protocol('nat'),"[3, 1, 1440.0, 1, 0, 1, 1, 3.0860683831188007, 4, 0, 0, 0, 0, 0.3084538115705288, 2, 0.5229743731129757, 2, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52') add middlebox('copyright monitoring'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.60') add middlebox('parental control'), middlebox('traffics monitor'), middlebox('dpi')","[5, 1, 1440.0, 0, 0, 1, 0, 2.932029263405072, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1.5114179414316804, 4]",0
define intent stnIntent: for group('students') allow service('Sorenson Videophone 200') protocol('ssh'),define intent hypIntent: for group('pupil') block traffic('voip') protocol('ssh'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 2, 0, 1, 1.0, 2, 0, 0]",1
"define intent stnIntent: for group('students') set quota('download', '6', 'gb/wk')","define intent hypIntent: for group('students') set quota('any', '3', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('dorms') add middlebox('ips'), middlebox('copyright monitoring'), middlebox('firewall')","define intent hypIntent: for group('dormitory') remove middlebox('ips'), middlebox('copyright monitoring')","[5, 1, 1440.0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3.0321202709215775, 5]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') unset bandwidth('max', '90', 'mbps')","define intent hypIntent: for group('guests') unset bandwidth('min', '40', 'mbps')","[3, 0, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') set bandwidth('min', '80', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.8') set bandwidth('max', '80', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 3.0668425617156334, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') set bandwidth('min', '50', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') add middlebox('network border system'), middlebox('unit firewall'), middlebox('load balancer')","[2, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3]",0
define intent stnIntent: for group('students') allow service('bittorrent') traffic('peer2peer'),"define intent hypIntent: for group('students') block traffic('torrent'), traffic('peer2peer')","[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 2, 1.6488924230007598, 3, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') set bandwidth('max', '80', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') unset quota('upload', '1', 'gb/wk')","[3, 1, 1440.0, 1, 0, 1, 0, 3.1237317875048407, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') add middlebox('unit firewall') start hour('08:40') end hour('14:20'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') remove middlebox('unit firewall'), middlebox('overuse notification') start hour('10:40') end hour('17:10')","[3, 1, 221.0, 1, 0, 1, 0, 2.9311955433278065, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1.724782015646377, 3]",1
"define intent stnIntent: for group('students') set quota('upload', '6', 'gb/wk')","define intent hypIntent: for group('students') set quota('upload', '3', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') set quota('any', '4', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.72') set quota('any', '7', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 2.674389422246681, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.49') set quota('upload', '6', 'gb/wk') start hour('03:40') end hour('11:00')","define intent hypIntent: for group('students') set quota('upload', '3', 'gb/wk') start hour('16:40') end hour('17:10')","[3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') add middlebox('ips'), middlebox('traffics monitor'), middlebox('copyright monitoring')","define intent hypIntent: for group('scholarly person') remove middlebox('unit firewall'), middlebox('ids'), middlebox('ips')","[5, 1, 1440.0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4.456934124376987, 6]",1
define intent stnIntent: for group('guests') block service('NETBIOS') traffic('social media') start hour('04:20') end hour('10:40'),define intent hypIntent: for group('guests') block traffic('any') protocol('udp') start hour('15:10') end hour('16:00'),"[5, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 0.1043412529290388, 2, 0, 1, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') set bandwidth('max', '30', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.87') set bandwidth('min', '20', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 2.92873744802096, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') unset quota('upload', '6', 'gb/wk')","define intent hypIntent: for group('guests') set bandwidth('min', '30', 'mbps')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('guests') allow service('popcorn time'), service('AIM chat')",define intent hypIntent: for group('non registered users') block service('Everquest') protocol('tcp'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0.5056245883066464, 3, 0, 2, 0, 0, 0, 1, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.31') set quota('download', '1', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') add middlebox('overuse notification'), middlebox('traffics monitor'), middlebox('dpi')","[2, 1, 1440.0, 0, 0, 1, 0, 3.3402283945348037, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') set bandwidth('max', '20', 'mbps')","define intent hypIntent: for group('guests') set bandwidth('min', '40', 'mbps')","[3, 0, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') allow traffic('gaming'), traffic('streaming') add middlebox('firewall')",define intent hypIntent: for group('guests') block traffic('peer2peer') protocol('icmp') add middlebox('firewall'),"[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0.8360872729555854, 3, 0, 1, 1.0, 2]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') add middlebox('parental control'), middlebox('dpi'), middlebox('unit firewall') start hour('09:10') end hour('15:20')","define intent hypIntent: for group('dorms') remove middlebox('parental control'), middlebox('traffics monitor') start hour('08:30') end hour('14:10')","[3, 1, 301.0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 3.492279280778557, 5]",1
"define intent stnIntent: for group('dorms') add middlebox('unit firewall'), middlebox('ids'), middlebox('ips')",define intent stnIntent: for group('students') allow service('irc') traffic('peer2peer'),"[3, 1, 1440.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 3]",0
